Loaded HAL Components:
ID      Type  Name                                            PID   State
     7  RT    hm2_eth                                               ready

Component Pins:
Owner   Type  Dir         Value  Name
     7  s32   OUT             0  hm2_7i80.0.encoder.00.count
     7  s32   OUT             0  hm2_7i80.0.encoder.00.count-latched
     7  bit   I/O         FALSE  hm2_7i80.0.encoder.00.index-enable
     7  bit   OUT          TRUE  hm2_7i80.0.encoder.00.input-a
     7  bit   OUT          TRUE  hm2_7i80.0.encoder.00.input-b
     7  bit   OUT          TRUE  hm2_7i80.0.encoder.00.input-index
     7  float OUT             0  hm2_7i80.0.encoder.00.position
     7  float OUT             0  hm2_7i80.0.encoder.00.position-latched
     7  bit   OUT         FALSE  hm2_7i80.0.encoder.00.quad-error
     7  bit   IN          FALSE  hm2_7i80.0.encoder.00.quad-error-enable
     7  s32   OUT             0  hm2_7i80.0.encoder.00.rawcounts
     7  s32   OUT             0  hm2_7i80.0.encoder.00.rawlatch
     7  bit   IN          FALSE  hm2_7i80.0.encoder.00.reset
     7  float OUT             0  hm2_7i80.0.encoder.00.velocity
     7  float OUT             0  hm2_7i80.0.encoder.00.velocity-rpm
     7  s32   OUT             0  hm2_7i80.0.encoder.01.count
     7  s32   OUT             0  hm2_7i80.0.encoder.01.count-latched
     7  bit   I/O         FALSE  hm2_7i80.0.encoder.01.index-enable
     7  bit   OUT          TRUE  hm2_7i80.0.encoder.01.input-a
     7  bit   OUT          TRUE  hm2_7i80.0.encoder.01.input-b
     7  bit   OUT         FALSE  hm2_7i80.0.encoder.01.input-index
     7  float OUT             0  hm2_7i80.0.encoder.01.position
     7  float OUT             0  hm2_7i80.0.encoder.01.position-latched
     7  bit   OUT         FALSE  hm2_7i80.0.encoder.01.quad-error
     7  bit   IN          FALSE  hm2_7i80.0.encoder.01.quad-error-enable
     7  s32   OUT             0  hm2_7i80.0.encoder.01.rawcounts
     7  s32   OUT             0  hm2_7i80.0.encoder.01.rawlatch
     7  bit   IN          FALSE  hm2_7i80.0.encoder.01.reset
     7  float OUT             0  hm2_7i80.0.encoder.01.velocity
     7  float OUT             0  hm2_7i80.0.encoder.01.velocity-rpm
     7  s32   OUT             0  hm2_7i80.0.encoder.02.count
     7  s32   OUT             0  hm2_7i80.0.encoder.02.count-latched
